Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 4 [15000/49000 (30%)]	Train Loss: 1.988577	Val Loss: 2.001800	Val Acc: 45
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 1.990862	Val Loss: 1.996988	Val Acc: 45
Train Epoch: 4 [21000/49000 (43%)]	Train Loss: 1.961305	Val Loss: 1.983001	Val Acc: 47
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 2.023786	Val Loss: 1.986989	Val Acc: 47
Train Epoch: 4 [27000/49000 (55%)]	Train Loss: 1.956756	Val Loss: 1.977282	Val Acc: 47
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.988953	Val Loss: 1.969469	Val Acc: 48
Train Epoch: 4 [33000/49000 (67%)]	Train Loss: 1.971937	Val Loss: 1.987574	Val Acc: 47
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 1.943301	Val Loss: 1.984189	Val Acc: 47
Train Epoch: 4 [39000/49000 (79%)]	Train Loss: 1.964049	Val Loss: 1.978400	Val Acc: 47
Train Epoch: 4 [42000/49000 (85%)]	Train Loss: 1.968506	Val Loss: 1.986968	Val Acc: 46
Train Epoch: 4 [45000/49000 (91%)]	Train Loss: 2.016270	Val Loss: 1.989654	Val Acc: 46
Train Epoch: 4 [48000/49000 (98%)]	Train Loss: 1.953039	Val Loss: 1.960803	Val Acc: 50
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.914213	Val Loss: 1.964406	Val Acc: 49
Train Epoch: 5 [3000/49000 (6%)]	Train Loss: 1.924226	Val Loss: 1.960995	Val Acc: 50
Train Epoch: 5 [6000/49000 (12%)]	Train Loss: 1.987872	Val Loss: 1.955979	Val Acc: 50
Train Epoch: 5 [9000/49000 (18%)]	Train Loss: 1.953050	Val Loss: 1.974161	Val Acc: 48
Train Epoch: 5 [12000/49000 (24%)]	Train Loss: 1.926508	Val Loss: 1.960282	Val Acc: 49
Train Epoch: 5 [15000/49000 (30%)]	Train Loss: 1.967096	Val Loss: 1.943906	Val Acc: 51
Train Epoch: 5 [18000/49000 (37%)]	Train Loss: 1.978544	Val Loss: 1.959034	Val Acc: 49
Train Epoch: 5 [21000/49000 (43%)]	Train Loss: 1.973269	Val Loss: 1.957187	Val Acc: 50
Train Epoch: 5 [24000/49000 (49%)]	Train Loss: 1.994459	Val Loss: 1.957519	Val Acc: 50
Train Epoch: 5 [27000/49000 (55%)]	Train Loss: 1.939312	Val Loss: 1.964568	Val Acc: 49
Train Epoch: 5 [30000/49000 (61%)]	Train Loss: 1.946060	Val Loss: 1.969742	Val Acc: 48
Train Epoch: 5 [33000/49000 (67%)]	Train Loss: 1.943621	Val Loss: 1.971279	Val Acc: 48
Train Epoch: 5 [36000/49000 (73%)]	Train Loss: 1.902558	Val Loss: 1.947852	Val Acc: 51
Train Epoch: 5 [39000/49000 (79%)]	Train Loss: 1.900082	Val Loss: 1.945258	Val Acc: 51
Train Epoch: 5 [42000/49000 (85%)]	Train Loss: 1.977663	Val Loss: 1.945475	Val Acc: 52
Train Epoch: 5 [45000/49000 (91%)]	Train Loss: 1.950103	Val Loss: 1.950189	Val Acc: 50
Train Epoch: 5 [48000/49000 (98%)]	Train Loss: 1.976356	Val Loss: 1.953822	Val Acc: 50
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 1.928966	Val Loss: 1.954941	Val Acc: 51
Train Epoch: 6 [3000/49000 (6%)]	Train Loss: 1.917173	Val Loss: 1.945572	Val Acc: 51
Train Epoch: 6 [6000/49000 (12%)]	Train Loss: 1.951031	Val Loss: 1.950314	Val Acc: 50
Train Epoch: 6 [9000/49000 (18%)]	Train Loss: 1.947578	Val Loss: 1.945910	Val Acc: 51
Train Epoch: 6 [12000/49000 (24%)]	Train Loss: 1.965273	Val Loss: 1.938083	Val Acc: 52
Train Epoch: 6 [15000/49000 (30%)]	Train Loss: 1.890455	Val Loss: 1.940318	Val Acc: 51
Train Epoch: 6 [18000/49000 (37%)]	Train Loss: 1.891748	Val Loss: 1.938734	Val Acc: 52
Train Epoch: 6 [21000/49000 (43%)]	Train Loss: 1.914427	Val Loss: 1.936419	Val Acc: 53
Train Epoch: 6 [24000/49000 (49%)]	Train Loss: 1.889922	Val Loss: 1.938408	Val Acc: 51
Train Epoch: 6 [27000/49000 (55%)]	Train Loss: 1.962041	Val Loss: 1.943567	Val Acc: 51
Train Epoch: 6 [30000/49000 (61%)]	Train Loss: 1.913675	Val Loss: 1.949601	Val Acc: 51
Train Epoch: 6 [33000/49000 (67%)]	Train Loss: 1.901708	Val Loss: 1.938525	Val Acc: 52
Train Epoch: 6 [36000/49000 (73%)]	Train Loss: 1.897891	Val Loss: 1.931650	Val Acc: 53
Train Epoch: 6 [39000/49000 (79%)]	Train Loss: 1.909220	Val Loss: 1.934222	Val Acc: 52
Train Epoch: 6 [42000/49000 (85%)]	Train Loss: 1.889572	Val Loss: 1.936430	Val Acc: 52
Train Epoch: 6 [45000/49000 (91%)]	Train Loss: 1.960369	Val Loss: 1.940793	Val Acc: 51
Train Epoch: 6 [48000/49000 (98%)]	Train Loss: 1.943851	Val Loss: 1.941189	Val Acc: 51
